HomeownershipRate,UnemploymentRate,Housing_Supply_Demand_Ratio,VacantHousingUnits_1,TotalShipmentsofNewHomes,MedianListingPriceperSquareFeet,Affordability_Level
64.0,5.4,0.01129032258064516,1814.750534922298,194.0,21.145818841340542,Most Affordable
64.0,5.3,0.012859560067681894,1815.7810741583644,198.0,21.26536637949075,Most Affordable
64.0,5.2,0.013588850174216028,1816.812198604958,194.0,21.38558977767669,Most Affordable
63.7,5.4,0.015313653136531366,1817.8439085944008,191.0,21.50649285686194,Most Affordable
63.7,5.4,0.01535580524344569,1818.8762044592047,188.0,21.62807945961181,Most Affordable
63.7,5.2,0.014495412844036697,1819.90908653207,191.0,21.75035345021552,Most Affordable
64.0,5.5,0.014391143911439114,1820.9425551458844,188.0,21.873318714808946,Most Affordable
64.0,5.7,0.01553030303030303,1821.9766106337268,191.0,21.9969791614982,Most Affordable
64.0,5.9,0.016935483870967744,1823.011253328864,185.0,22.1213387204838,Most Affordable
64.1,5.9,0.018709677419354837,1824.046483564752,187.0,22.246401344185585,Most Affordable
64.1,6.2,0.01663286004056795,1825.0823016750376,180.0,22.37217100736833,Most Affordable
64.1,6.3,0.018318965517241378,1826.1187079935555,170.0,22.49865170726809,Most Affordable
63.9,6.4,0.02344139650872818,1827.15570285433,164.0,22.62584746371922,Most Affordable
63.9,6.6,0.016390041493775934,1828.193286591576,153.0,22.753762319282146,Most Affordable
63.9,6.8,0.014398422090729782,1829.231459539698,160.0,22.882400339371824,Most Affordable
63.9,6.7,0.01437007874015748,1830.2702220332897,172.0,23.011765612386995,Most Affordable
63.9,6.9,0.013539651837524178,1831.309574407136,174.0,23.14186224984008,Most Affordable
63.9,6.9,0.013565891472868217,1832.3495169962096,178.0,23.272694386487863,Most Affordable
64.2,6.8,0.013894324853228963,1833.3900501356768,176.0,23.404266180462923,Most Affordable
64.2,6.9,0.012927756653992395,1834.4311741608915,179.0,23.53658181340576,Most Affordable
64.2,6.9,0.015195071868583163,1835.4728894073992,174.0,23.669645490597706,Most Affordable
64.2,7.0,0.012786259541984733,1836.5151962109355,171.0,23.8034614410946,Most Affordable
64.2,7.0,0.010782608695652174,1837.5580949074272,171.0,23.93803391786116,Most Affordable
64.2,7.3,0.011111111111111112,1838.601585832991,175.0,24.07336719790618,Most Affordable
64.0,7.3,0.007692307692307693,1839.645669323936,183.0,24.209465582418453,Most Affordable
64.0,7.4,0.007668231611893585,1840.69034571676,187.0,24.346333396903464,Most Affordable
64.0,7.4,0.011030741410488246,1841.7356153481533,195.0,24.48397499132088,Most Affordable
63.9,7.4,0.011172161172161172,1842.7814785549983,196.0,24.62239474022279,Most Affordable
63.9,7.6,0.010830324909747292,1843.827935674368,197.0,24.761597042892745,Most Affordable
63.9,7.8,0.009395973154362415,1844.874987043524,196.0,24.90158632348556,Most Affordable
64.3,7.7,0.008452950558213716,1845.922632999924,215.0,25.04236703116795,Most Affordable
64.3,7.6,0.008176100628930818,1846.9708738812144,207.0,25.183943640259915,Most Affordable
64.3,7.6,0.007692307692307693,1848.0197100252349,221.0,25.32632065037696,Most Affordable
64.4,7.3,0.008212560386473429,1849.069141770016,232.0,25.469502586573068,Most Affordable
64.4,7.4,0.008794788273615635,1850.11916945378,241.0,25.613493999484565,Most Affordable
64.4,7.4,0.007692307692307693,1851.1697934149413,253.0,25.758299465474707,Most Affordable
64.2,7.3,0.009060402684563758,1852.2210139921087,248.0,25.90392358677916,Most Affordable
64.2,7.1,0.008774834437086092,1853.27283152408,248.0,26.05037099165224,Most Affordable
64.2,7.0,0.008970099667774087,1854.325246349848,241.0,26.19764633451401,Most Affordable
64.4,7.1,0.006704707560627675,1855.3782588085955,241.0,26.345754296098274,Most Affordable
64.4,7.1,0.008466453674121405,1856.4318692397,240.0,26.494699583601225,Most Affordable
64.4,7.0,0.007963246554364471,1857.486077982732,246.0,26.644486930831143,Most Affordable
64.7,6.9,0.008091603053435115,1858.540885377452,253.0,26.795121098358813,Most Affordable
64.7,6.8,0.008527131782945736,1859.596291763816,256.0,26.94660687366882,Most Affordable
64.7,6.7,0.006749311294765841,1860.652297481973,263.0,27.09894907131173,Most Affordable
64.6,6.8,0.007102272727272727,1861.708902872264,266.0,27.252152533057064,Most Affordable
64.6,6.6,0.00624187256176853,1862.766108275224,275.0,27.40622212804724,Most Affordable
64.6,6.5,0.005541871921182266,1863.823914031581,281.0,27.561162752952264,Most Affordable
63.8,6.6,0.009531502423263328,1864.8823204822563,296.0,27.716979332125405,Most Affordable
63.8,6.6,0.007288629737609329,1865.9413279683656,293.0,27.87367681775967,Most Affordable
63.8,6.5,0.006425702811244979,1867.000936831218,298.0,28.031260190045213,Most Affordable
63.8,6.4,0.007514450867052024,1868.061147412316,294.0,28.189734457327614,Most Affordable
63.8,6.1,0.007670043415340087,1869.121960053356,297.0,28.34910465626704,Most Affordable
63.8,6.1,0.00998389694041868,1870.183375096229,299.0,28.50937585199835,Most Affordable
64.1,6.1,0.010031847133757961,1871.24539288302,301.0,28.67055313829205,Most Affordable
64.1,6.0,0.009298780487804878,1872.308013756008,303.0,28.832641637716183,Most Affordable
64.1,5.9,0.008862629246676515,1873.3712380576667,305.0,28.99564650179917,Most Affordable
64.2,5.8,0.007832167832167832,1874.435066130664,315.0,29.15957291119349,Most Affordable
64.2,5.6,0.009752321981424148,1875.4994983178624,317.0,29.32442607584037,Most Affordable
64.2,5.5,0.010492845786963434,1876.564534962319,343.0,29.49021123513535,Most Affordable
64.2,5.6,0.010862619808306708,1877.6301764072864,348.0,29.656933658094808,Most Affordable
64.2,5.4,0.013059033989266547,1878.696422996211,329.0,29.82459864352341,Most Affordable
64.2,5.4,0.01103896103896104,1879.7632750727355,325.0,29.99321152018254,Most Affordable
64.7,5.8,0.010789049919484702,1880.8307329806964,322.0,30.16277764695964,Most Affordable
64.7,5.6,0.009347181008902077,1881.8987970641267,330.0,30.333302413038524,Most Affordable
64.7,5.6,0.008,1882.967467667254,329.0,30.504791238070688,Most Affordable
65.0,5.7,0.007320261437908497,1884.0367451345007,336.0,30.677249572347524,Most Affordable
65.0,5.7,0.008701854493580598,1885.106629810488,340.0,30.850682896973563,Most Affordable
65.0,5.6,0.009292035398230088,1886.1771220400287,348.0,31.02509672404067,Most Affordable
65.1,5.5,0.009051724137931033,1887.2482221681328,354.0,31.20049659680322,Most Affordable
65.1,5.6,0.010240963855421687,1888.3199305400085,358.0,31.3768880898543,Most Affordable
65.1,5.6,0.009026798307475319,1889.3922475010563,369.0,31.554276809302863,Most Affordable
65.1,5.6,0.00896358543417367,1890.465173396876,355.0,31.732668392951897,Most Affordable
65.1,5.5,0.0068920676202860855,1891.5387085732607,344.0,31.912068510477628,Most Affordable
65.1,5.5,0.008599167822468794,1892.6128533762028,365.0,32.092482863609696,Most Affordable
65.4,5.6,0.008152173913043478,1893.6876081518897,369.0,32.27391718631238,Most Affordable
65.4,5.6,0.007908847184986596,1894.762973246705,363.0,32.45637724496683,Most Affordable
65.4,5.3,0.008321775312066574,1895.838949007231,371.0,32.63986883855433,Most Affordable
65.6,5.5,0.007402597402597403,1896.9155357802435,364.0,32.82439779884062,Most Affordable
65.6,5.1,0.006053268765133172,1897.992733912718,369.0,33.00996999056123,Most Affordable
65.6,5.2,0.006753246753246753,1899.0705437518263,372.0,33.19659131160787,Most Affordable
65.4,5.2,0.0077777777777777776,1900.1489656449369,367.0,33.384267693215875,Most Affordable
65.4,5.4,0.006744487678339819,1901.227999939616,358.0,33.57300510015275,Most Affordable
65.4,5.4,0.006211180124223602,1902.307646983627,341.0,33.76280953090768,Most Affordable
65.4,5.3,0.005662650602409639,1903.3879071249305,347.0,33.95368701788224,Most Affordable
65.4,5.2,0.0056179775280898875,1904.4687807116848,350.0,34.14564362758207,Most Affordable
65.4,5.2,0.0049338146811070994,1905.550268092248,351.0,34.3386854608097,Most Affordable
65.7,5.1,0.006317204301075269,1906.632369615172,365.0,34.53281865285845,Most Affordable
65.7,4.9,0.006052631578947368,1907.7150856292087,353.0,34.72804937370743,Most Affordable
65.7,5.0,0.005548549810844894,1908.7984164833088,355.0,34.9243838282176,Most Affordable
66.0,4.9,0.005465838509316771,1909.8823625266216,356.0,35.121828256329024,Most Affordable
66.0,4.8,0.005276073619631901,1910.966924108492,356.0,35.32038893325915,Most Affordable
66.0,4.9,0.005,1912.052101578465,354.0,35.52007216970228,Most Affordable
65.7,4.7,0.005375,1913.137895286284,351.0,35.7208843120301,Most Affordable
65.7,4.6,0.0045138888888888885,1914.224305581892,352.0,35.92283174249342,Most Affordable
65.7,4.7,0.005548549810844894,1915.311332815428,354.0,36.125920879425,Most Affordable
65.9,4.6,0.0045871559633027525,1916.398977337232,361.0,36.33015817744352,Most Affordable
65.9,4.6,0.004503464203233256,1917.4872394978424,370.0,36.53555012765875,Most Affordable
65.9,4.7,0.004904306220095693,1918.5761196479968,370.0,36.74210325787786,Most Affordable
66.0,4.3,0.004618937644341801,1919.665618138632,369.0,36.94982413281284,Most Affordable
66.0,4.4,0.00439684329199549,1920.755735320884,372.0,37.1587193542892,Most Affordable
66.0,4.5,0.004117009750812567,1921.846471546088,366.0,37.36879556145575,Most Affordable
66.8,4.5,0.0045662100456621,1922.937827165779,380.0,37.5800594309956,Most Affordable
66.8,4.6,0.00474537037037037,1925.1223979957583,373.0,38.00617705287375,Most Affordable
66.4,4.5,0.004479283314669653,1926.215613910116,379.0,38.22104434816568,Most Affordable
66.4,4.4,0.0035175879396984926,1927.3094506270963,389.0,38.43712639216864,Most Affordable
66.4,4.4,0.004004214963119072,1928.4039084992348,382.0,38.654430052444425,Most Affordable
66.7,4.3,0.0044571428571428574,1929.498987879265,390.0,38.872962235380506,Affordable
66.7,4.4,0.0047169811320754715,1930.5946891201224,381.0,39.09272988640948,Affordable
66.7,4.2,0.004750869061413673,1931.691012574941,383.0,39.31373999022984,Affordable
66.6,4.3,0.004248366013071895,1932.7879585970568,368.0,39.53599957102796,Affordable
66.6,4.2,0.0045045045045045045,1933.885527540006,365.0,39.75951569270132,Affordable
66.6,4.3,0.004225352112676056,1934.9837197575257,355.0,39.98429545908305,Affordable
67.0,4.3,0.0044444444444444444,1936.0825356035537,336.0,40.21034601416767,Affordable
67.0,4.2,0.004479283314669653,1937.1819754322285,340.0,40.43767454233816,Affordable
67.0,4.2,0.005447941888619854,1938.2820395978904,320.0,40.66628826859428,Affordable
66.9,4.1,0.00481651376146789,1939.3827284550805,321.0,40.89619445878223,Affordable
66.9,4.1,0.004982618771726535,1940.4840423585413,316.0,41.12740041982552,Affordable
66.9,4.0,0.004925544100801833,1941.585981663217,304.0,41.35991349995727,Affordable
67.1,4.0,0.004925544100801833,1942.688546724252,304.0,41.59374108895367,Affordable
67.1,4.1,0.005023364485981308,1943.7917378969948,291.0,41.82889061836893,Affordable
67.1,4.0,0.0047777777777777775,1944.895555536994,287.0,42.065369561771405,Affordable
67.2,3.8,0.005231866825208086,1946.0,271.0,42.303185434981145,Affordable
67.2,4.0,0.0051341890315052515,1946.0,265.0,42.54234579630878,Affordable
67.2,4.0,0.00605296343001261,1946.0,262.0,42.78285824679571,Affordable
67.7,4.0,0.004622322435174746,1856.0,251.0,43.024730430455705,Affordable
67.7,4.1,0.0051886792452830195,1856.0,249.0,43.26797003451784,Affordable
67.7,3.9,0.0043859649122807015,1856.0,231.0,43.5125847896708,Affordable
67.5,3.9,0.004287245444801715,1728.0,213.0,43.75858247030863,Affordable
67.5,3.9,0.004772727272727273,1728.0,196.0,44.005970894777725,Affordable
67.5,3.9,0.003662258392675483,1728.0,176.0,44.25475792562542,Affordable
67.5,4.2,0.004059829059829059,1786.0,167.0,44.50495146984981,Affordable
67.5,4.2,0.0038421599169262723,1786.0,180.0,44.75655947915108,Affordable
67.5,4.3,0.004046858359957401,1786.0,182.0,45.00958995018422,Affordable
67.7,4.4,0.0042904290429042905,1827.0,188.0,45.264050924813176,Affordable
67.7,4.3,0.004519774011299435,1827.0,191.0,45.51995049036644,Affordable
67.7,4.5,0.004761904761904762,1827.0,200.0,45.77729677989408,Affordable
68.1,4.6,0.004772727272727273,1849.0,196.0,46.03609797242623,Affordable
68.1,4.9,0.005080831408775982,1849.0,199.0,46.29636229323303,Affordable
68.1,5.0,0.005158264947245018,1849.0,203.0,46.55809801408607,Affordable
68.0,5.3,0.0049368541905855335,1842.0,202.0,46.82131345352124,Affordable
68.0,5.5,0.004437229437229437,1842.0,199.0,47.08601697710316,Affordable
68.0,5.7,0.003881511746680286,1842.0,199.0,47.352216997691,Affordable
67.8,5.7,0.004772727272727273,1786.0,194.0,47.61992197570591,Affordable
67.8,5.7,0.004219409282700422,1786.0,186.0,47.88914041939989,Affordable
67.8,5.7,0.0044420368364030335,1786.0,171.0,48.1598808851262,Affordable
67.6,5.9,0.004594017094017094,1772.0,176.0,48.43215197761131,Affordable
67.6,5.8,0.00408997955010225,1772.0,173.0,48.70596235022836,Affordable
67.6,5.8,0.00438871473354232,1772.0,171.0,48.9813207052722,Affordable
68.0,5.8,0.004393305439330544,1793.0,169.0,49.25823579423594,Affordable
68.0,5.7,0.0039447731755424065,1793.0,166.0,49.53671641808915,Affordable
68.0,5.7,0.003735632183908046,1793.0,162.0,49.81677142755749,Affordable
68.3,5.7,0.003976143141153081,1952.0,156.0,50.09840972340409,Affordable
68.3,5.9,0.00390625,1952.0,150.0,50.38164025671238,Affordable
68.3,6.0,0.003816793893129771,1952.0,144.0,50.66647202917059,Affordable
68.0,5.8,0.004004004004004004,2002.0,141.0,50.95291409335786,Affordable
68.0,5.9,0.004807692307692308,2002.0,138.0,51.24097555303193,Affordable
68.0,5.9,0.004104104104104104,2002.0,128.0,51.53066556341848,Affordable
68.0,6.0,0.004051383399209486,2060.0,131.0,51.82199333150209,Affordable
68.0,6.1,0.0036178107606679036,2060.0,130.0,52.11496811631893,Affordable
68.0,6.3,0.002933780385582565,2060.0,131.0,52.40959922925092,Affordable
68.4,6.2,0.0030821917808219177,1963.0,137.0,52.70589603432176,Affordable
68.4,6.1,0.002902155887230514,1963.0,129.0,53.00386794849449,Affordable
68.4,6.1,0.003359858532272325,1963.0,128.0,53.30352444197079,Affordable
68.6,6.0,0.0033216783216783214,1977.0,126.0,53.604875038491976,Affordable
68.6,5.8,0.003751143641354071,1977.0,125.0,53.90792931564169,Affordable
68.6,5.7,0.00354295837023915,1977.0,126.0,54.21269690515026,Affordable
68.6,5.7,0.003261802575107296,2049.0,122.0,54.51918749320087,Affordable
68.6,5.6,0.003192407247627265,2049.0,123.0,54.82741082073736,Affordable
68.6,5.8,0.002821316614420063,2049.0,133.0,55.13737668377384,Affordable
69.2,5.6,0.003372681281618887,1983.0,129.0,55.44909493370603,Affordable
69.2,5.6,0.0030620467365028202,1983.0,129.0,55.762575477624345,Affordable
69.2,5.6,0.003305084745762712,1983.0,129.0,56.07782827862879,Affordable
69.0,5.5,0.004136029411764706,1976.0,129.0,56.39486335614557,Affordable
69.0,5.4,0.0036595744680851063,1976.0,127.0,56.71369078624555,Affordable
69.0,5.4,0.0033772652388797363,1976.0,134.0,57.034320701964525,Affordable
69.2,5.5,0.002988505747126437,1940.0,136.0,57.356763293625214,Expensive
69.2,5.4,0.0036471586089906697,1940.0,135.0,57.68102880916116,Expensive
69.2,5.4,0.003301127214170692,1940.0,133.0,58.00712755444244,Expensive
69.1,5.3,0.003657522859517872,1996.0,149.0,58.33506989360319,Expensive
69.1,5.4,0.0032600454890068234,1996.0,138.0,58.66486624937101,Expensive
69.1,5.2,0.0030873493975903613,1996.0,126.0,58.99652710339821,Expensive
68.6,5.2,0.0034126984126984124,1971.0,131.0,59.33006299659496,Expensive
